行,6
坑,7
孝,7
抗,7
攻,7
更,7
効,8
幸,8
拘,8
肯,8
侯,9
厚,9
恒,9
洪,9
皇,9
紅,9
荒,9
郊,9
香,9
候,10
校,10
耕,10
航,10
貢,10
降,10
高,10
康,11
控,11
梗,11
黄,11
喉,12
慌,12
港,12
硬,12
絞,12
項,12
溝,13
鉱,13
構,14
綱,14
酵,14
稿,15
興,16
衡,16
鋼,16
講,17
購,17
乞,3
号,5
合,6
拷,9
剛,10
傲,13
豪,14
克,7
告,7
谷,7
刻,8
国,8
黒,11
穀,14
酷,14
獄,14
骨,10
駒,15
込,5
頃,11
今,4
困,7
昆,8
恨,9
根,10
婚,11
混,11
痕,11
紺,11
魂,14
墾,16
懇,17
左,5
佐,7
沙,7
査,9
砂,9
唆,10
差,10
詐,12
鎖,18
座,10
挫,10
才,3
再,6
災,7
妻,8
采,8
砕,9
宰,10
栽,10
彩,11
採,11
済,11
祭,11
斎,11
細,11
菜,11
最,12
裁,12
債,13
催,13
塞,13
歳,13
載,13
際,14
埼,11
在,6
材,7
剤,10
財,10
罪,13
崎,11
作,7
削,9
昨,9
柵,9
索,10
策,12
酢,12
搾,13
錯,16
咲,9
冊,5
札,5
刷,8
刹,8
拶,9
殺,10
察,14
撮,15
擦,17
雑,14
皿,5
三,3
山,3
参,8
桟,10
蚕,10
惨,11
産,11
傘,12
散,12
算,14
酸,14
賛,15
残,10
斬,11
暫,15
士,3
子,3
支,4
止,4
氏,4
仕,5
史,5
司,5
四,5
市,5
矢,5
旨,6
死,6
糸,6
至,6
伺,7
志,7
私,7
使,8
刺,8
始,8
姉,8
枝,8
祉,8
肢,8
姿,9
思,9
指,9
施,9
師,10
恣,10
紙,10
脂,10
視,11
紫,12
詞,12
歯,12
嗣,13
試,13
詩,13
資,13
飼,13
誌,14
雌,14
摯,15
賜,15
諮,16
示,5
字,6
寺,6
次,6
耳,6
自,6
似,7
児,7
事,8
侍,8
治,8
持,9
時,10
滋,12
慈,13
辞,13
磁,14
餌,15
璽,19
鹿,11
式,6
識,19
軸,12
七,2
𠮟,5
失,5
室,9
疾,10
執,11
湿,12
嫉,13
漆,14
質,15
実,8
芝,6
写,5
社,7
車,7
舎,8
者,8
射,10
捨,11
赦,11
斜,11
煮,12
遮,14
謝,17
邪,8
蛇,11
尺,4
借,10
酌,10
釈,11
爵,17
若,8
弱,10
寂,11
手,4
主,5
守,6
朱,6
取,8
狩,9
首,9
殊,10
珠,10
酒,10
腫,13
種,14
趣,15
寿,7
受,8
呪,8
授,11
需,14
儒,16
樹,16
収,4
囚,5
州,6
舟,6
秀,7
周,8
